Year,Adj 1,Adj 2,Adj 3,Adj 4,Adj 5,Adj 6,Merged_Column
1983,attractive,,,,,,attractive
1983,modern, young,,,,,"modern, young"
1983,rich,,,,,,rich
1984,pretty,,,,,,pretty
1984,privileged,,,,,,privileged
1984,pregnant,,,,,,pregnant
1984,aged,,,,,,aged
1984,Dhanraj,,,,,,Dhanraj
1984,poor,,,,,,poor
1984,pregnant,,,,,,pregnant
1984,widowed,,,,,,widowed
1984,budding,,,,,,budding
1984,lovely, attractive, young,,,,"lovely, attractive, young"
1984,unmarried,,,,,,unmarried
1984,retarded,,,,,,retarded
1985,fashionable,,,,,,fashionable
1985,famous,,,,,,famous
1985,innocent,,,,,,innocent
1985,rich,,,,,,rich
1985,similar,,,,,,similar
1985,secrets,,,,,,secrets
1985,beautiful,,,,,,beautiful
1985,motherless,,,,,,motherless
1985,new,,,,,,new
1985,fellow,,,,,,fellow
1985,arrogant,,,,,,arrogant
1985,Kishen,,,,,,Kishen
1985,father, drunkard,,,,,"father, drunkard"
1985,teenaged,,,,,,teenaged
1985,fellow, retired,,,,,"fellow, retired"
1985,reluctant,,,,,,reluctant
1985,penniless,,,,,,penniless
1985,debutante,,,,,,debutante
1985,arrogant, young,,,,,"arrogant, young"
1985,valiant,,,,,,valiant
1985,unknown,,,,,,unknown
1985,guilty,,,,,,guilty
1985,intelligent,,,,,,intelligent
1985,pregnant,,,,,,pregnant
1985,ideal,,,,,,ideal
1985,holy,,,,,,holy
1985,beautiful,,,,,,beautiful
1985,old, ailing,,,,,"old, ailing"
1986,beautiful, young,,,,,"beautiful, young"
1986,little,,,,,,little
1986,dumb,,,,,,dumb
1986,sweet,,,,,,sweet
1986,pregnant,,,,,,pregnant
1987,challenged,,,,,,challenged
1987,returned, foreign,,,,,"returned, foreign"
1987,poor, orphan,,,,,"poor, orphan"
1987,beautiful,,,,,,beautiful
1987,adamant, impulsive,,,,,"adamant, impulsive"
1987,notorious,,,,,,notorious
1987,young,,,,,,young
1987,cheap,,,,,,cheap
1987,young,,,,,,young
1987,caring,,,,,,caring
1987,little,,,,,,little
1987,devoted,,,,,,devoted
1988,domineering,,,,,,domineering
1988,young,,,,,,young
1988,little,,,,,,little
1988,sister,,,,,,sister
1988,frantic,,,,,,frantic
1988,suitable,,,,,,suitable
1988,biological,,,,,,biological
1988,biological,,,,,,biological
1988,attractive, young,,,,,"attractive, young"
1988,niece,,,,,,niece
1988,beautiful, young, little,,,,"beautiful, young, little"
1988,hideous,,,,,,hideous
1988,little,,,,,,little
1988,lovely, beautiful, young,,,,"lovely, beautiful, young"
1988,little,,,,,,little
1988,young, poor,,,,,"young, poor"
1988,pretty,,,,,,pretty
1989,lovely, young,,,,,"lovely, young"
1989,pregnant,,,,,,pregnant
1989,aged,,,,,,aged
1989,compatible,,,,,,compatible
1989,widowed,,,,,,widowed
1989,beautiful,,,,,,beautiful
1989,wealthy,,,,,,wealthy
1989,unaware,,,,,,unaware
1989,pragmatic,,,,,,pragmatic
1989,young,,,,,,young
1990,new, modest,,,,,"new, modest"
1990,beautiful,,,,,,beautiful
1990,evil, strange,,,,,"evil, strange"
1990,young, undercover,,,,,"young, undercover"
1990,young, rich,,,,,"young, rich"
1990,beautiful,,,,,,beautiful
1990,old, tempered, short, aggressive,,,"old, tempered, short, aggressive"
1990,lazy,,,,,,lazy
1990,young,,,,,,young
1990,single,,,,,,single
1990,unconventional,,,,,,unconventional
1990,powerful,,,,,,powerful
1991,sister,,,,,,sister
1991,young, dead,,,,,"young, dead"
1991,weekly,,,,,,weekly
1991,good,,,,,,good
1991,ill,,,,,,ill
1991,ill,,,,,,ill
1991,working, simple,,,,,"working, simple"
1991,single,,,,,,single
1991,married,,,,,,married
1991,widowed,,,,,,widowed
1991,pregnant,,,,,,pregnant
1991,native,,,,,,native
1991,successful,,,,,,successful
1991,adopted,,,,,,adopted
1991,young,,,,,,young
1991,saintly,,,,,,saintly
1991,tough,,,,,,tough
1991,young,,,,,,young
1991,beautiful,,,,,,beautiful
1991,beautiful,,,,,,beautiful
1991,late,,,,,,late
1991,young,,,,,,young
1991,young,,,,,,young
1991,old,,,,,,old
1991,Brahmin, young, unmarried,,,,"Brahmin, young, unmarried"
1991,biological,,,,,,biological
1991,dead,,,,,,dead
1992,young,,,,,,young
1992,rich, spoiled,,,,,"rich, spoiled"
1992,rude,,,,,,rude
1992,young,,,,,,young
1992,local,,,,,,local
1992,unknown,,,,,,unknown
1992,grown,,,,,,grown
1992,old,,,,,,old
1992,beautiful, young,,,,,"beautiful, young"
1992,new,,,,,,new
1992,beautiful,,,,,,beautiful
1992,old,,,,,,old
1992,beautiful,,,,,,beautiful
1992,lovely,,,,,,lovely
1992,simple,,,,,,simple
1992,old,,,,,,old
1992,grown,,,,,,grown
1992,precocious, young,,,,,"precocious, young"
1993,wealthy,,,,,,wealthy
1993,poor,,,,,,poor
1993,poor,,,,,,poor
1993,young,,,,,,young
1993,newborn,,,,,,newborn
1993,innocent,,,,,,innocent
1993,glitzy,,,,,,glitzy
1993,deceased,,,,,,deceased
1993,bubbly,,,,,,bubbly
1993,lovely, young,,,,,"lovely, young"
1993,evil,,,,,,evil
1993,innocent,,,,,,innocent
1993,young,,,,,,young
1993,secret,,,,,,secret
1993,snobby,,,,,,snobby
1993,younger, elder, little,,,,"younger, elder, little"
1993,successful,,,,,,successful
1993,traditional,,,,,,traditional
1993,sympathetic,,,,,,sympathetic
1993,quarrelsome,,,,,,quarrelsome
1993,sister,,,,,,sister
1993,young,,,,,,young
1994,great,,,,,,great
1994,new, amnesiac,,,,,"new, amnesiac"
1994,widowed,,,,,,widowed
1995,poor,,,,,,poor
1995,wealthy,,,,,,wealthy
1995,effervescent,,,,,,effervescent
1996,acclaimed,,,,,,acclaimed
1996,young,,,,,,young
1996,illegitimate,,,,,,illegitimate
1996,sad,,,,,,sad
1996,young, teenage,,,,,"young, teenage"
1996,poor,,,,,,poor
1996,injured, young,,,,,"injured, young"
1996,sister,,,,,,sister
1996,teenage,,,,,,teenage
1996,dead,,,,,,dead
1996,presumed,,,,,,presumed
1997,beautiful, rich,,,,,"beautiful, rich"
1997,rich,,,,,,rich
1997,promiscuous, elderly, dignified,,,,"promiscuous, elderly, dignified"
1997,beloved,,,,,,beloved
1997,rich,,,,,,rich
1997,new,,,,,,new
1997,single,,,,,,single
1997,insane,,,,,,insane
1997,beautiful,,,,,,beautiful
1997,sister,,,,,,sister
1997,young, innocent,,,,,"young, innocent"
1997,snaky,,,,,,snaky
1997,unable, happy, authentic, missing, pure, good,"unable, happy, authentic, missing, pure, good"
1997,equal,,,,,,equal
1997,little,,,,,,little
1997,ambitious, young, rich,,,,"ambitious, young, rich"
1998,respectable,,,,,,respectable
1998,wannabe,,,,,,wannabe
1998,mysterious,,,,,,mysterious
1998,little,,,,,,little
1998,compassionate,,,,,,compassionate
1998,grand,,,,,,grand
1998,young,,,,,,young
1998,beautiful, young,,,,,"beautiful, young"
1998,beautiful, simple,,,,,"beautiful, simple"
1998,unable,,,,,,unable
1998,motherly,,,,,,motherly
1998,clumsy,,,,,,clumsy
1998,local, Muslim,,,,,"local, Muslim"
1998,rich,,,,,,rich
1999,American,,,,,,American
1999,rich,,,,,,rich
1999,secret,,,,,,secret
1999,young,,,,,,young
1999,following,,,,,,following
1999,modern,,,,,,modern
1999,loving,,,,,,loving
1999,biological,,,,,,biological
1999,adopted,,,,,,adopted
1999,sister,,,,,,sister
1999,hardworking,,,,,,hardworking
1999,beautiful,,,,,,beautiful
1999,beloved,,,,,,beloved
1999,old,,,,,,old
1999,French, blonde, hermit,,,,"French, blonde, hermit"
1999,young,,,,,,young
1999,beautiful,,,,,,beautiful
1999,simple,,,,,,simple
1999,desirable,,,,,,desirable
1999,Jais,,,,,,Jais
1999,beautiful,,,,,,beautiful
1999,curious, persistent, compassionate,,,,"curious, persistent, compassionate"
1999,young, idealistic,,,,,"young, idealistic"
1999,young,,,,,,young
2000,beautiful,,,,,,beautiful
2000,young,,,,,,young
2000,sister,,,,,,sister
2000,lonely,,,,,,lonely
2000,young,,,,,,young
2000,impoverished,,,,,,impoverished
2000,distressed, pregnant,,,,,"distressed, pregnant"
2000,blind,,,,,,blind
2000,young, vivacious,,,,,"young, vivacious"
2000,second,,,,,,second
2000,young,,,,,,young
2000,pregnant,,,,,,pregnant
2000,innocent,,,,,,innocent
2000,twin,,,,,,twin
2000,second,,,,,,second
2000,suicidal, heartbroken, pregnant,,,,"suicidal, heartbroken, pregnant"
2000,wealthy, playboy,,,,,"wealthy, playboy"
2000,old,,,,,,old
2000,rich,,,,,,rich
2000,beautiful,,,,,,beautiful
2000,young,,,,,,young
2001,deceased,,,,,,deceased
2001,wealthy,,,,,,wealthy
2001,surrogate,,,,,,surrogate
2001,pregnant,,,,,,pregnant
2001,old,,,,,,old
2001,American,,,,,,American
2001,pretty,,,,,,pretty
2001,greedy,,,,,,greedy
2001,Muslim,,,,,,Muslim
2001,vivacious,,,,,,vivacious
2001,young,,,,,,young
2001,sister,,,,,,sister
2001,young,,,,,,young
2001,rich,,,,,,rich
2001,mysterious,,,,,,mysterious
2001,reluctant,,,,,,reluctant
2001,innocent,,,,,,innocent
2001,right,,,,,,right
2001,skeptical,,,,,,skeptical
2002,tribal,,,,,,tribal
2002,white,,,,,,white
2002,popular,,,,,,popular
2002,loving, young, fun,,,,"loving, young, fun"
2002,biological, real,,,,,"biological, real"
2002,aware,,,,,,aware
2002,real,,,,,,real
2002,married,,,,,,married
2002,widowed,,,,,,widowed
2002,insensitive,,,,,,insensitive
2002,little,,,,,,little
2002,docile, poor, twin, little,,,"docile, poor, twin, little"
2002,little,,,,,,little
2002,frustrated,,,,,,frustrated
2002,small, typical,,,,,"small, typical"
2002,new,,,,,,new
2002,popular,,,,,,popular
2002,vivacious, real,,,,,"vivacious, real"
2002,quiet,,,,,,quiet
2002,spirited, bright,,,,,"spirited, bright"
2002,anxious,,,,,,anxious
2002,remorseless,,,,,,remorseless
2002,mysterious,,,,,,mysterious
2002,beautiful,,,,,,beautiful
2002,wealthy, young,,,,,"wealthy, young"
2003,exotic,,,,,,exotic
2003,married,,,,,,married
2003,young,,,,,,young
2003,obsessive,,,,,,obsessive
2003,comatose,,,,,,comatose
2003,subordinate,,,,,,subordinate
2003,young,,,,,,young
2003,American,,,,,,American
2003,wild,,,,,,wild
2003,nagging,,,,,,nagging
2003,headstrong,,,,,,headstrong
2003,pretty,,,,,,pretty
2003,little,,,,,,little
2003,broken,,,,,,broken
2003,good,,,,,,good
2003,elderly,,,,,,elderly
2003,biological, widowed,,,,,"biological, widowed"
2003,adopted,,,,,,adopted
2003,happy,,,,,,happy
2003,pregnant,,,,,,pregnant
2003,Happy, American,,,,,"Happy, American"
2003,wealthy,,,,,,wealthy
2003,young,,,,,,young
2003,single, young,,,,,"single, young"
2003,American, modern,,,,,"American, modern"
2003,young,,,,,,young
2003,common,,,,,,common
2003,pregnant,,,,,,pregnant
2003,frustrated, angry,,,,,"frustrated, angry"
2003,perfect,,,,,,perfect
2003,exuberant,,,,,,exuberant
2003,timid,,,,,,timid
2003,little,,,,,,little
2004,young,,,,,,young
2004,ambitious,,,,,,ambitious
2004,patient,,,,,,patient
2004,bored,,,,,,bored
2004,widowed,,,,,,widowed
2004,common,,,,,,common
2004,drunk,,,,,,drunk
2004,Muslim,,,,,,Muslim
2004,following,,,,,,following
2004,Sikh,,,,,,Sikh
2004,schoolgirl,,,,,,schoolgirl
2004,beautiful,,,,,,beautiful
2004,teenage,,,,,,teenage
2004,aggressive,,,,,,aggressive
2004,beautiful, simple,,,,,"beautiful, simple"
2004,jealous,,,,,,jealous
2004,young,,,,,,young
2004,young,,,,,,young
2004,young,,,,,,young
2004,depressed,,,,,,depressed
2004,rich,,,,,,rich
2004,young, Pakistani,,,,,"young, Pakistani"
2004,Sikh,,,,,,Sikh
2005,charming,,,,,,charming
2005,young,,,,,,young
2005,blind,,,,,,blind
2005,beautiful,,,,,,beautiful
2005,gullible,,,,,,gullible
2005,popular,,,,,,popular
2005,sister,,,,,,sister
2005,little,,,,,,little
2005,original,,,,,,original
2005,fiancee,,,,,,fiancee
2005,niece,,,,,,niece
2005,young,,,,,,young
2005,British, wealthy,,,,,"British, wealthy"
2005,violent,,,,,,violent
2005,beautiful, young,,,,,"beautiful, young"
2005,dutiful,,,,,,dutiful
2005,sister,,,,,,sister
2005,dead,,,,,,dead
2005,beautiful,,,,,,beautiful
2005,hot,,,,,,hot
2005,dead,,,,,,dead
2005,drunk,,,,,,drunk
2005,great,,,,,,great
2005,married, local,,,,,"married, local"
2006,runaway, jilted,,,,,"runaway, jilted"
2006,rich,,,,,,rich
2006,ailing,,,,,,ailing
2006,young,,,,,,young
2006,promiscuous,,,,,,promiscuous
2006,real,,,,,,real
2006,new,,,,,,new
2006,old,,,,,,old
2006,urban,,,,,,urban
2006,twin,,,,,,twin
2006,simple,,,,,,simple
2006,blind,,,,,,blind
2006,saucy,,,,,,saucy
2006,wealthy,,,,,,wealthy
2006,sister,,,,,,sister
2006,simple,,,,,,simple
2006,original,,,,,,original
2006,mysterious,,,,,,mysterious
2006,attractive,,,,,,attractive
2006,innocent,,,,,,innocent
2006,Afghan,,,,,,Afghan
2006,disappointed,,,,,,disappointed
2006,young,,,,,,young
2006,close,,,,,,close
2006,young,,,,,,young
2006,local,,,,,,local
2006,withering,,,,,,withering
2006,ill,,,,,,ill
2006,little,,,,,,little
2006,pregnant,,,,,,pregnant
2006,young,,,,,,young
2006,sister,,,,,,sister
2006,lovely,,,,,,lovely
2006,beautiful,,,,,,beautiful
2006,middle,,,,,,middle
2007,old,,,,,,old
2007,ideal,,,,,,ideal
2007,attractive,,,,,,attractive
2007,young, dead, Pakistani,,,,"young, dead, Pakistani"
2007,young, reluctant,,,,,"young, reluctant"
2007,happy,,,,,,happy
2007,content,,,,,,content
2007,young,,,,,,young
2007,spinster, twin,,,,,"spinster, twin"
2007,starlet,,,,,,starlet
2007,beautiful, Indian,,,,,"beautiful, Indian"
2007,wealthy,,,,,,wealthy
2007,rich,,,,,,rich
2007,young,,,,,,young
2007,challenged, twin,,,,,"challenged, twin"
2007,teenage,,,,,,teenage
2007,energetic, talkative,,,,,"energetic, talkative"
2007,emotional,,,,,,emotional
2007,exclusive,,,,,,exclusive
2007,widowed,,,,,,widowed
2007,affluent,,,,,,affluent
2007,nagging,,,,,,nagging
2007,real,,,,,,real
2007,biological, illegitimate,,,,,"biological, illegitimate"
2007,American, young,,,,,"American, young"
2007,beautiful, young,,,,,"beautiful, young"
2007,white,,,,,,white
2007,real,,,,,,real
2007,single,,,,,,single
2007,mysterious,,,,,,mysterious
2007,hot,,,,,,hot
2007,gentle,,,,,,gentle
2007,kindhearted,,,,,,kindhearted
2008,safe,,,,,,safe
2008,beautiful,,,,,,beautiful
2008,young,,,,,,young
2008,idiotic, assistant,,,,,"idiotic, assistant"
2008,assistant, personal,,,,,"assistant, personal"
2008,little,,,,,,little
2008,elderly,,,,,,elderly
2008,young,,,,,,young
2008,right,,,,,,right
2008,impulsive, romantic, right, sweet,,,"impulsive, romantic, right, sweet"
2008,delighted,,,,,,delighted
2008,girl,,,,,,girl
2008,beloved,,,,,,beloved
2008,arrogant, sweet,,,,,"arrogant, sweet"
2008,drunk,,,,,,drunk
2008,perfect,,,,,,perfect
2008,modern, capable, sweet, dreamy,,,"modern, capable, sweet, dreamy"
2008,feisty,,,,,,feisty
2008,hurried,,,,,,hurried
2008,eunuch,,,,,,eunuch
2008,kisses,,,,,,kisses
2008,captive,,,,,,captive
2008,disguised,,,,,,disguised
2008,deaf,,,,,,deaf
2008,attractive, young,,,,,"attractive, young"
2008,sister,,,,,,sister
2008,supermodel,,,,,,supermodel
2008,lovely,,,,,,lovely
2008,Special,,,,,,Special
2008,fiancee,,,,,,fiancee
2008,aspiring, lead,,,,,"aspiring, lead"
2008,rich, dead,,,,,"rich, dead"
2008,beautiful,,,,,,beautiful
2009,big, independent,,,,,"big, independent"
2009,young,,,,,,young
2009,young,,,,,,young
2009,Muslim,,,,,,Muslim
2009,American,,,,,,American
2009,Muslim,,,,,,Muslim
2010,beautiful,,,,,,beautiful
2010,unruly,,,,,,unruly
2010,adult,,,,,,adult
2010,psychiatrist,,,,,,psychiatrist
2010,shattered,,,,,,shattered
